time_sec,budget_mb
350.000,5526.9
352.000,5078.6
352.000,5078.1
354.000,5123.7
354.000,4968.7
356.000,4968.1
356.000,4968.3
358.000,4966.8
358.000,4968.0
360.000,4968.9
360.000,4969.1
362.000,4965.9
362.000,4964.7
364.000,4966.9
364.000,4973.9
366.000,4977.3
366.000,4973.9
368.000,5222.0
368.000,4794.9
370.000,4795.8
370.000,4799.4
372.000,4799.1
372.000,4796.6
374.000,4795.3
374.000,4796.6
376.000,4800.6
376.000,4800.1
378.000,4801.2
378.000,4798.5
380.000,4799.2
380.000,4798.6
382.000,4800.0
382.000,4800.1
384.000,4796.1
384.000,4792.7
386.000,4792.9
386.000,4793.1
388.000,4789.5
388.000,4791.8
390.000,4795.3
390.000,4796.6
392.000,4798.2
392.000,4798.3
394.000,4798.4
394.000,4799.5
396.000,4799.8
396.000,4796.6
398.000,4797.0
398.000,4798.6
400.000,4797.7
400.000,4798.8
402.000,4797.5
402.000,4797.0
404.000,4800.3
404.000,4800.9
406.000,4797.1
406.000,4795.3
408.000,4794.8
408.000,4798.4
410.000,4800.4
410.000,4803.2
412.000,4799.2
412.000,4801.7
414.000,4802.5
414.000,4798.6
416.000,4798.9
416.000,4795.1
418.000,4792.1
418.000,4788.7
420.000,4790.0
420.000,4786.9
422.000,4786.3
422.000,4790.6
424.000,4790.0
424.000,4793.0
426.000,4800.4
426.000,4803.6
428.000,4807.8
428.000,4810.8
430.000,4808.0
430.000,4810.4
432.000,4814.4
432.000,4812.6
434.000,4807.5
434.000,4805.8
436.000,4804.1
436.000,4862.6
438.000,4953.9
438.000,5040.8
440.000,5124.8
440.000,5206.8
442.000,5282.5
442.000,5355.4
444.000,5424.5
444.000,5486.1
446.000,5542.5
446.000,5593.5
448.000,5631.1
448.000,5666.3
450.000,5693.2
450.000,5706.6
452.000,5713.8
452.000,5709.6
454.000,6135.2
454.000,5960.5
456.000,5932.2
456.000,5890.0
458.000,5841.6
458.000,5995.3
460.000,5929.2
460.000,5861.3
462.000,5784.7
462.000,5706.8
464.000,5623.1
464.000,5536.6
466.000,5446.3
466.000,5351.9
468.000,5295.3
468.000,5291.9
470.000,5293.2
470.000,5295.9
472.000,5294.6
472.000,5294.0
474.000,5295.5
474.000,5293.4
476.000,5289.7
476.000,5186.0
478.000,5184.2
478.000,5208.3
480.000,5208.0
480.000,5209.8
482.000,5207.8
482.000,5211.6
484.000,5213.2
484.000,5352.0
486.000,5387.2
486.000,5389.6
488.000,5390.3
488.000,5392.2
490.000,5393.3
490.000,5392.2
492.000,5392.8
492.000,5393.8
494.000,5392.0
494.000,5391.9
496.000,5392.8
496.000,5393.6
498.000,5393.0
498.000,5391.5
500.000,5388.9
500.000,5387.3
502.000,5387.3
502.000,5387.8
504.000,5387.6
504.000,5380.6
506.000,5380.9
506.000,5385.9
508.000,5390.0
508.000,5390.6
510.000,5390.0
510.000,5391.4
512.000,5391.6
512.000,5396.9
514.000,5399.5
514.000,5396.0
516.000,5396.0
516.000,5395.5
518.000,5395.1
518.000,5396.2
520.000,5397.3
520.000,5395.2
522.000,5391.1
522.000,5005.6
524.000,5005.5
524.000,5004.3
526.000,5002.7
526.000,5001.9
528.000,4999.9
528.000,5002.8
530.000,5003.0
530.000,5004.6
532.000,5001.7
532.000,5004.6
534.000,5011.4
534.000,4845.7
536.000,4846.2
536.000,5087.3
538.000,5086.9
538.000,5087.6
540.000,5088.2
540.000,5086.5
542.000,5083.9
542.000,5085.2
544.000,5084.7
544.000,5083.9
546.000,5082.8
546.000,5088.0
548.000,5091.6
548.000,4858.4
550.000,4856.4
550.000,4857.9
552.000,4858.6
552.000,4863.5
554.000,4866.4
554.000,4861.9
556.000,4860.1
556.000,4861.5
558.000,4864.7
558.000,4864.7
560.000,4867.8
560.000,4866.9
562.000,4865.4
562.000,4864.0
564.000,4863.1
564.000,4859.1
566.000,4855.4
566.000,4849.3
568.000,4845.7
568.000,4846.2
570.000,4849.4
570.000,4852.1
572.000,4852.5
572.000,4854.4
574.000,4856.7
574.000,4861.1
576.000,4862.6
576.000,4859.9
578.000,4856.6
578.000,4858.5
580.000,4858.7
580.000,4859.1
582.000,4860.1
582.000,4859.8
584.000,4859.1
584.000,4863.6
586.000,4863.3
586.000,4861.0
588.000,4861.2
588.000,4863.3
590.000,4862.9
590.000,4859.5
592.000,4855.1
592.000,4852.6
594.000,4850.6
594.000,4847.3
596.000,4845.4
596.000,4841.3
598.000,4839.3
598.000,4842.5
600.000,4847.1
600.000,4847.0
