token_idx,layer_0_active_k,layer_1_active_k,layer_2_active_k,layer_3_active_k,layer_4_active_k,layer_5_active_k,layer_6_active_k,layer_7_active_k,layer_8_active_k,layer_9_active_k,layer_10_active_k,layer_11_active_k,layer_12_active_k,layer_13_active_k,layer_14_active_k,layer_15_active_k,total_active_experts,avg_active_experts_per_layer,expert_weight_demand_mib_no_kv
163,8,8,8,7,8,8,8,8,7,6,6,6,6,6,6,6,112,7.0,378.000000
164,8,8,8,8,8,8,8,8,8,8,6,8,8,7,6,7,122,7.625,411.750000
165,8,8,8,8,8,8,8,8,8,7,8,4,8,8,5,8,120,7.5,405.000000
166,8,8,8,8,8,8,8,8,8,8,8,8,7,5,5,4,117,7.3125,394.875000
167,8,8,8,8,8,6,5,7,7,6,5,6,7,6,7,8,110,6.875,371.250000
168,8,8,8,8,8,8,8,8,8,8,7,8,7,6,6,6,120,7.5,405.000000
169,8,8,8,8,8,8,8,8,8,8,6,8,7,6,7,8,122,7.625,411.750000
170,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,6,119,7.4375,401.625000
171,8,8,8,8,8,8,8,8,8,7,4,7,5,7,6,7,115,7.1875,388.125000
172,8,8,8,8,8,8,8,8,8,8,5,8,6,7,4,5,115,7.1875,388.125000
173,7,8,8,8,8,8,8,8,8,8,6,7,7,7,7,7,120,7.5,405.000000
174,7,8,8,8,8,8,8,8,8,5,5,7,7,5,6,6,112,7.0,378.000000
175,8,8,8,8,8,8,8,8,8,7,7,6,5,5,3,5,110,6.875,371.250000
176,8,8,8,8,8,8,8,8,8,7,4,4,3,3,3,2,98,6.125,330.750000
177,6,8,8,8,5,7,6,5,7,6,5,8,8,7,6,6,106,6.625,357.750000
178,8,8,8,8,8,8,8,8,8,8,8,8,7,5,4,6,118,7.375,398.250000
179,4,8,8,8,8,7,6,6,7,6,7,8,8,8,7,8,114,7.125,384.750000
180,8,8,8,8,8,8,8,8,8,8,6,8,5,5,6,5,115,7.1875,388.125000
181,8,8,8,8,8,8,8,8,8,8,7,8,8,6,6,7,122,7.625,411.750000
182,8,8,8,8,8,8,8,8,8,8,8,7,7,6,7,7,122,7.625,411.750000
183,8,8,8,8,8,8,8,8,8,7,8,6,7,5,8,8,121,7.5625,408.375000
184,8,8,8,8,8,8,8,8,8,8,8,7,4,4,5,6,114,7.125,384.750000
185,8,8,8,8,8,8,8,8,7,6,7,8,5,4,5,4,110,6.875,371.250000
186,8,8,8,8,7,8,8,7,8,6,8,8,8,7,8,8,123,7.6875,415.125000
187,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,8,125,7.8125,421.875000
188,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,8,122,7.625,411.750000
189,8,8,8,8,8,8,7,7,8,7,6,8,8,8,8,8,123,7.6875,415.125000
190,8,8,8,8,8,8,8,8,8,8,6,8,6,5,5,5,115,7.1875,388.125000
191,8,8,8,8,8,8,8,8,8,7,6,8,7,5,6,8,119,7.4375,401.625000
192,8,8,8,8,8,8,8,7,7,6,5,6,5,5,6,8,111,6.9375,374.625000
193,5,8,8,8,8,8,8,8,8,7,7,7,6,6,7,8,117,7.3125,394.875000
194,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
195,8,8,8,8,8,8,8,8,8,8,6,7,8,7,6,8,122,7.625,411.750000
196,8,8,8,8,8,8,8,7,5,6,4,3,3,2,2,4,92,5.75,310.500000
197,8,8,8,8,8,8,8,8,8,7,6,5,6,7,5,6,114,7.125,384.750000
198,8,8,8,8,8,8,8,8,8,8,7,6,5,3,3,2,106,6.625,357.750000
199,8,8,8,8,8,8,8,8,8,6,8,7,5,5,4,5,112,7.0,378.000000
200,8,7,8,7,8,8,8,7,8,8,8,7,6,5,6,7,116,7.25,391.500000
201,8,8,8,8,8,8,8,8,8,8,7,6,4,5,5,5,112,7.0,378.000000
202,8,8,8,8,8,8,8,8,8,5,8,8,8,8,6,8,123,7.6875,415.125000
203,8,8,8,8,8,8,8,8,8,7,7,7,4,4,5,6,112,7.0,378.000000
204,8,8,8,8,8,8,8,8,8,6,7,6,5,5,7,7,115,7.1875,388.125000
205,6,8,8,8,8,8,8,8,7,6,7,7,8,8,7,8,120,7.5,405.000000
206,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,125,7.8125,421.875000
207,8,8,8,8,8,8,8,8,8,8,8,8,4,4,5,4,113,7.0625,381.375000
208,8,8,8,8,7,7,5,5,5,5,4,8,5,4,5,5,97,6.0625,327.375000
209,6,5,8,8,8,8,8,7,8,6,6,6,8,7,7,8,114,7.125,384.750000
210,8,8,8,8,8,8,8,8,8,8,8,8,4,4,5,4,113,7.0625,381.375000
211,8,8,8,8,8,8,8,8,7,6,6,6,3,3,5,5,105,6.5625,354.375000
212,8,8,8,8,8,8,6,6,7,7,6,6,5,4,7,4,106,6.625,357.750000
213,8,8,6,7,6,7,8,6,7,6,5,6,6,6,6,7,105,6.5625,354.375000
214,8,8,8,8,8,8,8,6,6,6,6,5,3,4,4,6,102,6.375,344.250000
215,8,8,8,8,8,8,8,6,5,4,5,6,3,3,5,6,99,6.1875,334.125000
216,6,8,8,8,7,8,8,7,8,7,4,5,5,3,2,3,97,6.0625,327.375000
217,7,8,8,8,7,7,6,6,7,6,7,8,8,8,8,8,117,7.3125,394.875000
218,8,8,8,8,8,8,8,8,8,8,7,8,4,4,6,4,113,7.0625,381.375000
219,7,8,8,8,8,8,8,8,8,6,6,7,4,3,5,5,107,6.6875,361.125000
220,8,8,8,8,8,7,8,7,8,7,7,8,8,8,8,8,124,7.75,418.500000
221,8,8,8,8,8,8,8,8,8,8,8,8,4,4,5,5,114,7.125,384.750000
222,8,8,8,8,8,8,8,8,8,8,8,8,4,4,5,5,114,7.125,384.750000
223,7,8,8,8,8,8,8,8,8,7,7,7,3,3,4,5,107,6.6875,361.125000
224,8,8,8,7,6,8,6,5,7,7,6,8,6,5,8,8,111,6.9375,374.625000
225,8,8,8,8,8,8,8,7,6,7,5,7,4,3,4,5,104,6.5,351.000000
226,8,8,8,8,8,8,8,5,5,4,6,6,4,3,5,5,99,6.1875,334.125000
227,8,8,8,7,7,7,6,5,7,6,7,8,7,6,7,8,112,7.0,378.000000
228,8,8,8,8,8,8,8,8,8,8,6,7,5,3,5,3,109,6.8125,367.875000
229,8,8,8,8,8,8,8,8,8,8,6,5,3,2,2,3,101,6.3125,340.875000
230,4,8,8,5,8,6,7,7,6,6,3,3,5,4,4,3,87,5.4375,293.625000
231,8,7,4,5,6,5,6,6,6,5,5,4,6,4,6,7,90,5.625,303.750000
232,8,8,5,8,8,8,8,8,6,7,7,8,8,8,8,8,121,7.5625,408.375000
233,8,8,8,8,8,8,8,8,8,8,7,7,6,6,5,6,117,7.3125,394.875000
234,8,8,8,8,8,7,6,6,7,6,6,8,5,4,6,5,106,6.625,357.750000
235,8,8,8,7,8,8,8,8,7,8,4,5,4,3,3,3,100,6.25,337.500000
236,7,6,5,7,7,8,8,8,8,7,6,7,5,4,5,4,102,6.375,344.250000
237,8,8,8,7,7,7,7,6,7,7,7,7,5,5,5,6,107,6.6875,361.125000
238,8,8,8,8,8,8,8,8,8,8,7,8,5,6,6,6,118,7.375,398.250000
239,8,8,8,8,8,8,8,8,8,7,8,8,8,8,5,8,124,7.75,418.500000
240,8,8,8,8,8,8,8,8,8,8,8,8,6,4,5,3,114,7.125,384.750000
241,8,8,8,8,8,8,8,8,8,8,6,8,4,3,4,3,108,6.75,364.500000
242,8,8,8,8,6,8,8,8,7,7,5,6,5,7,3,3,105,6.5625,354.375000
243,6,4,8,7,5,7,6,7,6,7,6,8,7,8,7,8,107,6.6875,361.125000
244,8,8,8,8,8,8,8,8,8,8,8,8,6,5,6,6,119,7.4375,401.625000
245,8,8,8,8,8,8,8,8,8,8,8,7,4,4,5,4,112,7.0,378.000000
246,8,8,8,8,8,8,8,8,8,8,8,8,6,5,5,5,117,7.3125,394.875000
247,8,8,8,8,8,8,8,7,7,8,8,8,4,4,5,4,111,6.9375,374.625000
248,8,8,8,8,8,8,8,6,5,5,5,6,4,3,5,4,99,6.1875,334.125000
249,6,8,8,7,8,8,8,6,7,6,5,7,5,4,3,5,101,6.3125,340.875000
250,8,8,8,8,8,8,8,6,5,6,7,7,4,3,5,4,103,6.4375,347.625000
251,7,8,8,8,8,8,8,6,4,4,5,6,4,3,6,6,99,6.1875,334.125000
252,8,8,8,8,7,8,6,6,6,5,5,6,5,6,5,6,103,6.4375,347.625000
253,8,8,8,8,8,8,8,8,8,8,7,8,6,6,7,6,120,7.5,405.000000
254,8,8,8,8,8,8,8,8,8,8,8,8,5,4,5,4,114,7.125,384.750000
255,8,8,8,8,8,7,7,7,7,6,5,4,2,4,2,2,93,5.8125,313.875000
256,8,7,3,4,6,6,7,8,6,7,4,4,3,6,4,3,86,5.375,290.250000
257,6,4,7,6,7,7,6,7,6,6,8,5,5,5,6,6,97,6.0625,327.375000
258,8,8,6,8,8,7,8,8,6,8,8,8,6,5,6,7,115,7.1875,388.125000
259,8,8,8,8,8,8,8,8,8,8,8,7,4,5,4,5,113,7.0625,381.375000
260,6,8,8,8,8,8,8,8,8,7,8,8,7,6,6,7,119,7.4375,401.625000
261,8,8,8,8,8,8,8,8,8,8,8,7,4,3,5,4,111,6.9375,374.625000
262,7,8,8,8,8,8,8,7,8,6,7,6,7,7,6,8,117,7.3125,394.875000
263,8,8,8,8,8,8,8,7,7,8,8,7,4,4,4,4,109,6.8125,367.875000
264,8,8,8,8,8,8,5,6,6,7,5,6,5,5,6,7,106,6.625,357.750000
265,8,8,8,8,8,8,8,8,8,8,8,8,4,3,5,5,113,7.0625,381.375000
