backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","COMPUTE","ffn_swiglu-18","GLU","f32",-1,541,-1,18944,1,1,1,75776,0.313177,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-18","MUL_MAT","f32",-1,542,-1,3584,1,1,1,14336,0.681198,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-18","ADD","f32",-1,543,-1,3584,1,1,1,14336,0.400000,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_650","MUL_MAT","f32",-1,546,-1,3584,1,1,1,14336,0.612240,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-19","ADD","f32",-1,547,-1,3584,1,1,1,14336,0.938802,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-19","ROPE","f32",-1,549,-1,128,28,1,1,14336,0.938646,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_654","MUL_MAT","f32",-1,550,-1,512,1,1,1,2048,0.873594,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-19","ADD","f32",-1,551,-1,512,1,1,1,2048,0.843073,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-19","ROPE","f32",-1,553,-1,128,4,1,1,2048,0.454427,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_658","MUL_MAT","f32",-1,554,-1,512,1,1,1,2048,0.509375,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-19","ADD","f32",-1,555,-1,512,1,1,1,2048,0.392343,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l19 (view)","SET_ROWS","f16",-1,558,-1,512,512,1,1,524288,0.614688,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l19 (view)","SET_ROWS","f16",-1,560,-1,512,512,1,1,524288,0.767865,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-19","FLASH_ATTN_EXT","f32",-1,567,-1,128,28,1,1,14336,2.185000,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_673","MUL_MAT","f32",-1,569,-1,3584,1,1,1,14336,0.864583,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-19","ADD","f32",-1,570,-1,3584,1,1,1,14336,0.796407,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-19","MUL_MAT","f32",-1,573,-1,18944,1,1,1,75776,1.149896,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-19","MUL_MAT","f32",-1,574,-1,18944,1,1,1,75776,0.889115,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-19","GLU","f32",-1,575,-1,18944,1,1,1,75776,0.812448,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-19","MUL_MAT","f32",-1,576,-1,3584,1,1,1,14336,0.830677,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-19","ADD","f32",-1,577,-1,3584,1,1,1,14336,0.412864,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_684","MUL_MAT","f32",-1,580,-1,3584,1,1,1,14336,0.990625,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-20","ADD","f32",-1,581,-1,3584,1,1,1,14336,0.948959,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-20","ROPE","f32",-1,583,-1,128,28,1,1,14336,0.764010,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_688","MUL_MAT","f32",-1,584,-1,512,1,1,1,2048,0.879271,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-20","ADD","f32",-1,585,-1,512,1,1,1,2048,0.444010,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-20","ROPE","f32",-1,587,-1,128,4,1,1,2048,0.538906,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_692","MUL_MAT","f32",-1,588,-1,512,1,1,1,2048,0.821615,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-20","ADD","f32",-1,589,-1,512,1,1,1,2048,0.432553,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l20 (view)","SET_ROWS","f16",-1,592,-1,512,512,1,1,524288,0.412552,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l20 (view)","SET_ROWS","f16",-1,594,-1,512,512,1,1,524288,0.408958,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-20","FLASH_ATTN_EXT","f32",-1,601,-1,128,28,1,1,14336,1.974323,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_707","MUL_MAT","f32",-1,603,-1,3584,1,1,1,14336,1.207708,1,"clFinish_profiled"
